INFO : 2026/04/08 14:56:00 db.go:34: Successfully Connected Database :  &{{{} {} 0} 0x27d5b14dc768 {{} {} 0} {{} {0 0}} [0x27d5b165e900] {[]} 1 0x27d5b150c460 false map[0x27d5b165e900:map[0x27d5b165e900:true]] map[] 25 25 300000000000 0 0x27d5b150c690 0 0 0 0 0x7ff7c7f36420}
INFO : 2026/04/08 14:56:35 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:35 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:36 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:37 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:38 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:38 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:38 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:38 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:38 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:39 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:40 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:41 product_controller.go:84: Bulk insert success. Total-Inseted :  500
INFO : 2026/04/08 14:56:41 product_controller.go:84: Bulk insert success. Total-Inseted :  500
